feature,importance
win_pct_diff,0.09576687669150376
avg_pts_allowed_diff,0.07216425899482491
fg_pct_diff,0.06641293525307977
avg_pts_diff,0.05144394319204917
fg3_pct_diff,0.050367785018342284
turnover_diff,0.045946750928597124
assist_to_to_ratio_diff,0.04218657149122553
rebound_diff,0.039243708450694144
ft_pct_diff,0.03744092724490218
streak_diff,0.035439202450656
recent_win_pct_diff,0.034439769060085834
lineup_pts_diff,0.033265272185766664
matchup_win_pct_diff,0.021168041192745596
rest_diff,0.016402356556118082
team1_home,0.014958337938686572
team2_back_to_back,0.008032979014516934
Marvin_Bagley_III,0.007894284880835621
team1_back_to_back,0.005956774446206898
Malcolm_Brogdon,0.005451764183837086
Grant_Williams,0.004918787332089491
Dennis_Schroder,0.0033169892133650776
Zach_LaVine,0.003220964776094794
Kelly_Olynyk,0.0030694569485223504
Kristaps_Porzingis,0.002672225600035892
Joel_Embiid,0.002644488049292924
Luke_Kornet,0.0026344266052195425
OG_Anunoby,0.0025906050569644823
Spencer_Dinwiddie,0.0025900929259533496
Jimmy_Butler_III,0.0025698984354293763
Dalano_Banton,0.0025616773287766167
Patrick_Baldwin_Jr.,0.0025175444143602033
P.J._Washington,0.0025135848189428455
Vasilije_Micic,0.0024835555101615963
Jerami_Grant,0.002461009944749916
Aaron_Nesmith,0.002456962390463212
AJ_Johnson,0.002414628260500394
Kevin_Huerter,0.002360286117636575
Kyle_Lowry,0.0022957973130599833
Svi_Mykhailiuk,0.002276998589023231
Luka_Doncic,0.002247092019178339
Bruce_Brown,0.0022404175752621445
Tre_Mann,0.002187860701447742
Xavier_Tillman,0.002151092957536765
Ousmane_Dieng,0.002149434274254959
Jose_Alvarado,0.0021478762280132398
Royce_O'Neale,0.0021021549262060417
Immanuel_Quickley,0.0020264726569823783
Daniel_Gafford,0.0020189657030390347
Kevin_Knox_II,0.0020015782500903377
De'Andre_Hunter,0.0019743735023020057
Neemias_Queta,0.0019698942474294014
Monte_Morris,0.0019490763151690912
