feature,importance
team2_matchup_win_pct,0.17060076860930062
team1_matchup_win_pct,0.15971690551756806
win_pct_diff,0.04233571788536702
pts_differential,0.040149194297315165
streak_momentum,0.03466733305662105
team1_streak,0.032766936530137035
team2_streak,0.03015695465016905
fg_pct_diff,0.028732815238766144
team1_missing_count,0.025301044317414582
three_pct_diff,0.02525050616908842
team2_missing_count,0.024540165338931455
team2_days_rest,0.020821209716961733
rest_advantage,0.020609299857471935
team1_days_rest,0.01779997360449264
team1_home,0.01708382902044994
team2_home,0.016822020526654206
team1_wins,0.01427133936137683
team1_losses,0.014009335853689868
team2_avg_pts,0.013121241538982078
team1_turnovers,0.013087258197202129
team2_wins,0.013001135457787997
team2_fg3_pct,0.012441472587392786
team1_win_pct,0.011739439684612012
team2_ast_to_to_ratio,0.011563911981251174
team2_win_pct,0.011220970511601853
team1_fg3_pct,0.011126200310527674
team2_fg_pct,0.010921445152880786
team1_fg_pct,0.010918421661962548
team2_avg_pts_allowed,0.010615304706263186
team1_avg_pts_allowed,0.01060976432836872
team1_def_reb,0.010603952033721635
team2_losses,0.010457758471820296
team2_turnovers,0.010409754628806436
team1_ast_to_to_ratio,0.010350668029613874
team2_off_reb,0.010251468854979332
team2_def_reb,0.009953541493320839
team1_ft_pct,0.009375632557416023
team2_ft_pct,0.009338204663972687
team1_avg_pts,0.009241476620902134
team1_off_reb,0.009120633765369979
team1_back_to_back,0.006737928917351409
team1_recent_win_pct,0.006482172831608181
team2_back_to_back,0.006086963997238678
team2_recent_win_pct,0.0055879274632698725
